csv,out_dir,T,duration_sec,dt_median_sec,hip_dz_total_m,hip_z_range_m,hip_y_range_m,ankle_y_min_m,ankle_y_mean_m,double_contact_rate,no_contact_rate,contact_L_rate,contact_R_rate,support_R_rate,switch_rate_from_support,switch_count_from_support,switch_rate_from_support_switch,switch_count_from_support_switch,bone_mean_L_HIP_L_KNEE,bone_cv_L_HIP_L_KNEE,bone_mean_L_KNEE_L_ANKLE,bone_cv_L_KNEE_L_ANKLE,bone_mean_R_HIP_R_KNEE,bone_cv_R_HIP_R_KNEE,bone_mean_R_KNEE_R_ANKLE,bone_cv_R_KNEE_R_ANKLE,bone_mean_L_HIP_R_HIP,bone_cv_L_HIP_R_HIP,has_time_sec,has_contact,has_stance,has_support,has_support_switch
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_processed.csv,outputs_final\stage_check\data_riku_bag0_processed,168.0,5.567302999999999,0.033336999999999506,1.5600319017252418,1.9205370646562399,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,0.005952380952380952,0.0,0.44047619047619047,0.5654761904761905,0.5357142857142857,0.16167664670658682,27.0,0.16071428571428573,27.0,0.4000846050228672,2.456711056359392e-10,0.3741178542698222,0.015685858867015835,0.40050806646662723,2.448255998189717e-10,0.3900659170032118,0.011990323071441272,0.2336283067674565,0.012341702190585146,True,True,True,True,True
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_raw.csv,outputs_final\stage_check\data_riku_bag0_raw,168.0,5.567302999999999,0.033336999999999506,-0.16746801436559633,0.22779960999634208,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.4000846050228672,2.456711095231042e-10,0.3741178542698222,0.015685858867015824,0.40050806646662723,2.4482560594037173e-10,0.3900659170032118,0.011990323071441263,0.2336283067674565,0.012341702190585141,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage0.csv,outputs_final\stage_check\data_riku_bag0_stage0,168.0,5.567302999999999,0.033336999999999506,7.403036579489708e-05,0.00022868765518069267,0.00026752197300083935,-0.1851087212562561,-0.08384568634487331,,,,,,,,,,0.395816061287981,0.03695339542153971,0.3786861961225404,0.028345055765065838,0.40091317322531983,0.02619954881576639,0.39144790340248886,0.04043689534484195,0.2336283070009973,0.012341702190402107,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage1.csv,outputs_final\stage_check\data_riku_bag0_stage1,168.0,5.567302999999999,0.033336999999999506,0.00012904182091121041,0.0001978698442931942,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.3958160609211559,0.03695339542001284,0.37868619577233253,0.02834505576159933,0.4009131728555798,0.026199548817149153,0.39144790304010985,0.0404368953387233,0.2336283067674565,0.01234170219058514,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage2.csv,outputs_final\stage_check\data_riku_bag0_stage2,168.0,5.567302999999999,0.033336999999999506,0.00012904182091121041,0.0001978698442931942,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.40008460503931353,2.2649327766017386e-10,0.37589365849794315,0.0031124291113610223,0.40050806645842535,2.1921512700017612e-10,0.39004700097437817,0.0037149015049950775,0.2336283067674565,0.01234170219058514,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage3.csv,outputs_final\stage_check\data_riku_bag0_stage3,168.0,5.567302999999999,0.033336999999999506,-0.16746801436559633,0.22779960999634208,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.39803116171363434,0.04584069495006729,0.37589365849794315,0.0031124291113610223,0.4040758208396895,0.029190367416555122,0.39004700097437817,0.0037149015049950775,0.2336283067674565,0.012341702190585141,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage4.csv,outputs_final\stage_check\data_riku_bag0_stage4,168.0,5.567302999999999,0.033336999999999506,-0.16746801436559633,0.22779960999634208,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.4000846050228672,2.456711095231042e-10,0.37583999668378515,0.002712321174027484,0.40050806646662723,2.4482560594037173e-10,0.3906715855067782,0.007588989233357169,0.2336283067674565,0.012341702190585141,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage5.csv,outputs_final\stage_check\data_riku_bag0_stage5,168.0,5.567302999999999,0.033336999999999506,-0.16746801436559633,0.22779960999634208,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.4000846050228672,2.456711095231042e-10,0.37532922328741014,0.004027602569076437,0.40050806646662723,2.4482560594037173e-10,0.3903676049097424,0.008069541317176418,0.2336283067674565,0.012341702190585141,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage6.csv,outputs_final\stage_check\data_riku_bag0_stage6,168.0,5.567302999999999,0.033336999999999506,-0.16746801436559633,0.22779960999634208,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.4000846050228672,2.456711095231042e-10,0.3741178542698222,0.015685858867015824,0.40050806646662723,2.4482560594037173e-10,0.3900659170032118,0.011990323071441263,0.2336283067674565,0.012341702190585141,True,False,False,False,False
C:\mypro\Depth-Anything-V2\outputs_final\data_riku_bag0_stage7.csv,outputs_final\stage_check\data_riku_bag0_stage7,168.0,5.567302999999999,0.033336999999999506,1.5600319017252418,1.9205370646562399,0.00027147081640144233,-0.0098983409289241,0.04039912370967824,,,,,,,,,,0.4000846050228672,2.456711056359392e-10,0.3741178542698222,0.015685858867015835,0.40050806646662723,2.448255998189717e-10,0.3900659170032118,0.011990323071441272,0.2336283067674565,0.012341702190585146,True,False,False,False,False
